id,player_id_2025,first_name,second_name,web_name,team,team_name,element_type,position,now_cost,total_points_2024,games_played_2024,season
10207,207,Hannibal,Mejbri,Hannibal,3,Burnley,3,MID,5.0,0,38,2025
10208,208,Luca,Koleosho,Koleosho,3,Burnley,3,MID,5.0,83,36,2025
10209,209,Josh,Laurent,Laurent,3,Burnley,3,MID,5.0,83,36,2025
10210,210,Loum,Tchaouna,Tchaouna,3,Burnley,3,MID,5.0,83,36,2025
10211,211,Aaron,Ramsey,A.Ramsey,3,Burnley,3,MID,4.5,83,36,2025
10212,212,Oluwaseun,Adewumi,Adewumi,3,Burnley,3,MID,4.5,83,36,2025
10213,213,Jaydon,Banel,Banel,3,Burnley,3,MID,4.5,83,36,2025
10214,214,Mike,Trésor Ndayishimiye,Trésor,3,Burnley,3,MID,4.5,83,36,2025
10215,215,Zian,Flemming,Flemming,3,Burnley,4,FWD,5.5,128,38,2025
10216,216,Zeki,Amdouni,Amdouni,3,Burnley,4,FWD,5.0,34,38,2025
10217,217,Lyle,Foster,Foster,3,Burnley,4,FWD,5.0,34,38,2025
10218,218,Ashley,Barnes,Barnes,3,Burnley,4,FWD,4.5,130,38,2025
10219,219,Michael,Obafemi,Obafemi,3,Burnley,4,FWD,4.5,34,38,2025
10066,66,Norberto,Murara Neto,Neto,4,Bournemouth,1,GK,4.5,7,38,2025
10067,67,Đorđe,Petrović,Petrović,4,Bournemouth,1,GK,4.5,0,38,2025
10068,68,Will,Dennis,Dennis,4,Bournemouth,1,GK,4.0,0,38,2025
10069,69,Callan,McKenna,McKenna,4,Bournemouth,1,GK,4.0,0,17,2025
10070,70,Alex,Paulsen,Paulsen,4,Bournemouth,1,GK,4.0,0,38,2025
10071,71,Illia,Zabarnyi,Zabarnyi,4,Bournemouth,2,DEF,5.0,94,38,2025
10072,72,Marcos,Senesi Barón,Senesi,4,Bournemouth,2,DEF,4.5,31,38,2025
10073,73,Adam,Smith,Smith,4,Bournemouth,2,DEF,4.5,57,38,2025
10074,74,Adrien,Truffert,Truffert,4,Bournemouth,2,DEF,4.5,104,38,2025
10075,75,Matai,Akinmboni,Akinmboni,4,Bournemouth,2,DEF,4.0,0,18,2025
10076,76,Owen,Bevan,Bevan,4,Bournemouth,2,DEF,4.0,17,38,2025
10077,77,James,Hill,Hill,4,Bournemouth,2,DEF,4.0,17,38,2025
10078,78,Julián,Araujo Zúñiga,J.Araujo,4,Bournemouth,2,DEF,4.0,12,38,2025
10079,79,Chris,Mepham,Mepham,4,Bournemouth,2,DEF,4.0,0,38,2025
10080,80,Julio,Soler Barreto,Soler,4,Bournemouth,2,DEF,4.0,3,18,2025
10081,81,Justin,Kluivert,Kluivert,4,Bournemouth,3,MID,7.0,158,38,2025
10082,82,Antoine,Semenyo,Semenyo,4,Bournemouth,3,MID,7.0,165,38,2025
10083,83,Dango,Ouattara,O.Dango,4,Bournemouth,3,MID,6.0,111,38,2025
10084,84,Marcus,Tavernier,Tavernier,4,Bournemouth,3,MID,5.5,87,38,2025
10085,85,Tyler,Adams,Adams,4,Bournemouth,3,MID,5.0,58,38,2025
10086,86,David,Brooks,Brooks,4,Bournemouth,3,MID,5.0,52,38,2025
10087,87,Ryan,Christie,Christie,4,Bournemouth,3,MID,5.0,76,38,2025
10088,88,Lewis,Cook,Cook,4,Bournemouth,3,MID,5.0,82,38,2025
10089,89,Philip,Billing,Philip,4,Bournemouth,3,MID,5.0,10,38,2025
10090,90,Alex,Scott,Scott,4,Bournemouth,3,MID,5.0,26,38,2025
10091,91,Luis,Sinisterra Lucumí,Sinisterra,4,Bournemouth,3,MID,5.0,23,38,2025
10092,92,Romain,Faivre,Faivre,4,Bournemouth,3,MID,4.5,0,38,2025
10093,93,Hamed,Traorè,H.Traorè,4,Bournemouth,3,MID,4.5,0,38,2025
10094,94,Dominic,Sadi,Sadi,4,Bournemouth,3,MID,4.5,0,18,2025
10095,95,Zain,Silcott-Duberry,Silcott-Duberry,4,Bournemouth,3,MID,4.5,1,17,2025
10096,96,Ben,Winterburn,Winterburn,4,Bournemouth,3,MID,4.5,4,26,2025
10097,97,Francisco Evanilson,de Lima Barbosa,Evanilson,4,Bournemouth,4,FWD,7.0,128,37,2025
10098,98,Enes,Ünal,Enes Ünal,4,Bournemouth,4,FWD,5.5,32,38,2025
10099,99,Daniel,Adu-Adjei,Adu-Adjei,4,Bournemouth,4,FWD,4.5,0,18,2025
10100,100,Eli Junior,Kroupi,Kroupi.Jr,4,Bournemouth,4,FWD,4.5,20,38,2025
10101,101,Caoimhín,Kelleher,Kelleher,5,Brentford,1,GK,4.5,45,38,2025
10102,102,Ellery,Balcombe,Balcombe,5,Brentford,1,GK,4.0,2,38,2025
10103,103,Matthew,Cox,Cox,5,Brentford,1,GK,4.0,2,38,2025
10104,104,Julian,Eyestone,Eyestone,5,Brentford,1,GK,4.0,0,15,2025
10105,105,Hákon Rafn,Valdimarsson,Valdimarsson,5,Brentford,1,GK,4.0,2,38,2025
10106,106,Nathan,Collins,Collins,5,Brentford,2,DEF,5.0,127,38,2025
10107,107,Keane,Lewis-Potter,Lewis-Potter,5,Brentford,2,DEF,5.0,94,38,2025
10108,108,Kristoffer,Ajer,Ajer,5,Brentford,2,DEF,4.5,39,38,2025
10109,109,Rico,Henry,Henry,5,Brentford,2,DEF,4.5,4,38,2025
10110,110,Michael,Kayode,Kayode,5,Brentford,2,DEF,4.5,27,15,2025
10111,111,Ethan,Pinnock,Pinnock,5,Brentford,2,DEF,4.5,47,38,2025
10112,112,Mads,Roerslev Rasmussen,Roerslev,5,Brentford,2,DEF,4.5,36,38,2025
10113,113,Sepp,van den Berg,Van den Berg,5,Brentford,2,DEF,4.5,62,38,2025
10114,114,Benjamin,Arthur,Arthur,5,Brentford,2,DEF,4.0,0,21,2025
10115,115,Benjamin,Fredrick,Fredrick,5,Brentford,2,DEF,4.0,0,11,2025
10116,116,Aaron,Hickey,Hickey,5,Brentford,2,DEF,4.0,0,38,2025
10117,117,Kim,Ji-soo,Ji-soo,5,Brentford,2,DEF,4.0,3,38,2025
10118,118,Jayden,Meghoma,Meghoma,5,Brentford,2,DEF,4.0,1,35,2025
10120,120,Kevin,Schade,Schade,5,Brentford,3,MID,7.0,149,38,2025
10121,121,Mikkel,Damsgaard,Damsgaard,5,Brentford,3,MID,6.0,131,38,2025
10122,122,Antoni,Milambo,Milambo,5,Brentford,3,MID,5.5,149,38,2025
10123,123,Fábio,Freitas Gouveia Carvalho,Carvalho,5,Brentford,3,MID,5.0,35,38,2025
10124,124,Jordan,Henderson,Henderson,5,Brentford,3,MID,5.0,135,38,2025
