captain,formation,budget,gw1_score,5gw_estimated,GK1,DEF1,DEF2,DEF3,DEF4,DEF5,MID1,MID2,MID3,MID4,MID5,FWD1,FWD2,FWD3,GK2,DEF4.1,DEF5.1,DEF6,DEF7
Mohamed Salah,3-5-2,100.0,66.7,343.7,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),Florian Wirtz (Liverpool),Matheus Santos Carneiro da Cunha (Man Utd),Raúl Jiménez Rodríguez (Fulham),Ashley Barnes (Burnley),,Filip Jörgensen (Chelsea),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley),
Mohamed Salah,5-3-2,98.5,66.7,343.7,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Antoine Semenyo (Bournemouth),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,4-4-2,100.0,66.7,343.4,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Anthony Elanga (Newcastle),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,Alexander Isak (Newcastle),Ashley Barnes (Burnley),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
Mohamed Salah,3-5-2,100.0,66.7,343.4,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),Florian Wirtz (Liverpool),Matheus Santos Carneiro da Cunha (Man Utd),Jørgen Strand Larsen (Wolves),Ashley Barnes (Burnley),,Filip Jörgensen (Chelsea),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley),
Mohamed Salah,4-4-2,100.0,66.6,343.2,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Leandro Trossard (Arsenal),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,Alexander Isak (Newcastle),Ashley Barnes (Burnley),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
Mohamed Salah,5-3-2,98.5,66.6,343.1,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Morgan Rogers (Aston Villa),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,98.0,66.6,342.8,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Jacob Murphy (Newcastle),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,96.5,66.6,342.8,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Antoñito Cordero Campillo (Newcastle),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,4-4-2,100.0,66.6,342.8,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Kevin Schade (Brentford),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,Alexander Isak (Newcastle),Ashley Barnes (Burnley),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Joe Anderson (Sunderland),Hannes Delcroix (Burnley),Owen Dodgson (Burnley)
Mohamed Salah,5-3-2,98.5,66.5,342.7,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Justin Kluivert (Bournemouth),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,98.0,66.5,342.4,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Alex Iwobi (Fulham),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,99.0,66.4,342.1,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Morgan Gibbs-White (Nott'm Forest),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,98.5,66.4,342.0,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Anthony Elanga (Newcastle),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,99.0,66.4,342.0,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),Cole Palmer (Chelsea),,,Jean-Philippe Mateta (Crystal Palace),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
Mohamed Salah,5-3-2,98.5,66.4,341.8,Jordan Pickford (Everton),Joško Gvardiol (Man City),Nikola Milenković (Nott'm Forest),Virgil van Dijk (Liverpool),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Leandro Trossard (Arsenal),Mohamed Salah (Liverpool),Bryan Mbeumo (Man Utd),,,Alexander Isak (Newcastle),Chris Wood (Nott'm Forest),,Filip Jörgensen (Chelsea),Daniel Muñoz Mejía (Crystal Palace),Milos Kerkez (Liverpool),Joe Anderson (Sunderland),Hannes Delcroix (Burnley)
