element,total_points,avg_points,std_points,total_minutes,games_played,start_price,end_price,position,team,name
157,98,2.58,1.69,3351,38,5.0,4.9,MID,Chelsea,Moisés Caicedo Corozo
158,0,0.0,0.0,0,38,4.5,4.4,MID,Chelsea,Cesare Casadei
159,93,2.45,3.18,1969,38,4.5,4.4,DEF,Chelsea,Trevoh Chalobah
160,13,0.34,1.17,254,38,5.0,4.6,DEF,Chelsea,Ben Chilwell
161,0,0.0,0.0,0,38,5.0,4.7,MID,Chelsea,Carney Chukwuemeka
162,109,2.87,3.51,3150,38,4.5,4.4,DEF,Chelsea,Levi Colwill
163,133,3.5,4.27,2988,38,5.0,5.4,DEF,Chelsea,Marc Cucurella Saseta
164,0,0.0,0.0,0,38,5.5,5.4,FWD,Chelsea,David Datro Fofana
165,0,0.0,0.0,0,38,5.0,4.9,FWD,Chelsea,Deivid Washington de Souza Eugênio
166,18,0.47,1.03,257,38,6.0,5.5,MID,Chelsea,Kiernan Dewsbury-Hall
167,33,0.87,1.98,851,38,4.5,4.2,DEF,Chelsea,Axel Disasi
168,135,3.55,3.07,2943,38,5.0,4.7,MID,Chelsea,Enzo Fernández
169,0,0.0,0.0,0,38,6.0,5.9,MID,Chelsea,Conor Gallagher
170,0,0.0,0.0,0,38,4.0,4.0,DEF,Chelsea,Alfie Gilchrist
171,60,1.58,1.9,1853,38,5.0,4.9,DEF,Chelsea,Malo Gusto
172,54,1.42,2.59,1057,38,5.0,4.8,DEF,Chelsea,Reece James
173,0,0.0,0.0,0,38,4.5,4.3,MID,Chelsea,Omari Kellyman
174,26,0.68,1.12,792,38,4.5,4.5,MID,Chelsea,Roméo Lavia
175,0,0.0,0.0,0,38,6.5,6.3,FWD,Chelsea,Romelu Lukaku Bolingoli
176,0,0.0,0.0,0,38,4.5,4.5,DEF,Chelsea,Malang Sarr
177,120,3.16,4.05,2028,38,6.5,6.0,MID,Chelsea,Noni Madueke
178,3,0.08,0.27,71,38,5.0,4.7,FWD,Chelsea,Marc Guiu Paz
179,7,0.18,0.39,145,38,6.5,6.1,MID,Chelsea,Mykhailo Mudryk
180,121,3.18,3.91,2220,38,7.5,7.7,FWD,Chelsea,Nicolas Jackson
181,60,1.58,2.88,904,38,6.5,5.7,MID,Chelsea,Christopher Nkunku
182,214,5.63,5.49,3193,38,10.5,10.5,MID,Chelsea,Cole Palmer
183,0,0.0,0.0,0,38,4.5,4.4,GK,Chelsea,Đorđe Petrović
184,7,0.18,0.46,176,38,4.5,4.4,MID,Chelsea,Renato Palma Veiga
185,126,3.32,3.46,2880,38,4.5,4.5,GK,Chelsea,Robert Sánchez
186,26,0.68,1.07,490,38,7.0,6.7,MID,Chelsea,Raheem Sterling
187,71,1.87,2.9,1403,38,4.5,4.2,DEF,Chelsea,Tosin Adarabioyo
188,47,1.24,1.75,1652,38,4.5,4.4,MID,Chelsea,Lesley Ugochukwu
